alpha,CL,CDi,e
-5.0,-0.2579,0.010197,1.0169
-4.0,-0.20771,0.0066239,1.0155
-3.0,-0.15746,0.003818,1.0124
-2.0,-0.10716,0.0017826,1.0044
-1.0,-0.05683,0.0005202,0.968
0.0,-0.00648,3.24e-05,0.2024
1.0,0.04386,0.0003197,0.9383
2.0,0.0942,0.0013818,1.0012
3.0,0.14451,0.0032174,1.0119
4.0,0.19477,0.0058243,1.0155
5.0,0.24498,0.0091993,1.0171
6.0,0.29511,0.0133382,1.0179
7.0,0.34514,0.0182361,1.0184
8.0,0.39508,0.023887,1.0188
9.0,0.44489,0.0302839,1.019
10.0,0.49457,0.0374191,1.0191
11.0,0.5441,0.0452839,1.0192
12.0,0.59346,0.0538688,1.0193
13.0,0.64264,0.0631632,1.0194
14.0,0.69163,0.0731558,1.0194
15.0,0.7404,0.0838345,1.0195
16.0,0.78895,0.0951862,1.0195
17.0,0.83726,0.1071971,1.0195
18.0,0.88532,0.1198526,1.0196
19.0,0.9331,0.1331373,1.0196
20.0,0.9806,0.147035,1.0196
