alpha,CL,CDi,e
-5.0,0.39889,0.0893332,0.2777
-4.0,0.44288,0.095404,0.3205
-3.0,0.48674,0.1020075,0.3621
-2.0,0.53045,0.1091357,0.402
-1.0,0.574,0.1167798,0.4399
0.0,0.61738,0.1249306,0.4757
1.0,0.66056,0.133578,0.5093
2.0,0.70355,0.1427117,0.5408
3.0,0.74632,0.1523203,0.5701
4.0,0.78887,0.1623924,0.5975
5.0,0.83117,0.1729155,0.6229
6.0,0.87322,0.1838768,0.6465
7.0,0.91501,0.1952631,0.6685
8.0,0.95651,0.2070603,0.6889
9.0,0.99773,0.2192542,0.7078
10.0,1.03864,0.2318299,0.7255
11.0,1.07923,0.2447721,0.7419
12.0,1.1195,0.258065,0.7572
13.0,1.15942,0.2716924,0.7714
14.0,1.19899,0.2856376,0.7847
15.0,1.2382,0.2998838,0.7971
16.0,1.27703,0.3144136,0.8087
17.0,1.31547,0.3292092,0.8195
18.0,1.35351,0.3442526,0.8297
19.0,1.39114,0.3595256,0.8392
20.0,1.42834,0.3750094,0.8482
