alpha,CL,CDi,e
-5.0,0.06519,0.0144145,0.046
-4.0,0.10878,0.015719,0.1174
-3.0,0.15233,0.0175948,0.2056
-2.0,0.19584,0.0200396,0.2984
-1.0,0.2393,0.0230505,0.3873
0.0,0.28267,0.0266237,0.4679
1.0,0.32597,0.030755,0.5386
2.0,0.36916,0.0354393,0.5995
3.0,0.41224,0.0406708,0.6514
4.0,0.45519,0.0464433,0.6956
5.0,0.49801,0.0527497,0.733
6.0,0.54067,0.0595822,0.7649
7.0,0.58317,0.0669326,0.7922
8.0,0.6255,0.0747919,0.8156
9.0,0.66763,0.0831506,0.8357
10.0,0.70956,0.0919984,0.8532
11.0,0.75127,0.1013246,0.8684
12.0,0.79275,0.1111178,0.8818
13.0,0.83399,0.1213661,0.8935
14.0,0.87498,0.132057,0.9039
15.0,0.9157,0.1431775,0.9131
16.0,0.95614,0.154714,0.9213
17.0,0.9963,0.1666524,0.9286
18.0,1.03614,0.1789783,0.9352
19.0,1.07568,0.1916766,0.9411
20.0,1.11488,0.2047318,0.9465
